Date : 2025-10-13 17:49:55
Directory : /Users/yokoiryotaro/craft-beer-ec
Total : 78 files,  11495 codes, 305 comments, 702 blanks, all 12502 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          2 |      6,749 |          0 |          2 |      6,751 |
| TypeScript JSX     |         22 |      2,130 |         44 |        176 |      2,350 |
| PostCSS            |         15 |      1,495 |         35 |        312 |      1,842 |
| TypeScript         |         26 |        866 |        135 |        147 |      1,148 |
| MS SQL             |          4 |        174 |         91 |         43 |        308 |
| JSON with Comments |          1 |         28 |          0 |          1 |         29 |
| JavaScript         |          2 |         25 |          0 |          7 |         32 |
| Markdown           |          1 |         23 |          0 |         14 |         37 |
| XML                |          5 |          5 |          0 |          0 |          5 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                  | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                     |         78 |     11,495 |        305 |        702 |     12,502 |
| . (Files)                                                                             |          8 |      6,835 |         76 |         26 |      6,937 |
| app                                                                                   |         55 |      4,249 |        133 |        614 |      4,996 |
| app (Files)                                                                           |          2 |        176 |          4 |         12 |        192 |
| app/api                                                                               |         20 |        704 |         54 |        130 |        888 |
| app/api/auth                                                                          |          1 |          9 |          1 |          1 |         11 |
| app/api/auth/check                                                                    |          1 |          9 |          1 |          1 |         11 |
| app/api/cart                                                                          |          3 |         99 |         10 |         19 |        128 |
| app/api/cart/add                                                                      |          1 |         49 |          5 |          7 |         61 |
| app/api/cart/delete                                                                   |          1 |         32 |          4 |          7 |         43 |
| app/api/cart/update                                                                   |          1 |         18 |          1 |          5 |         24 |
| app/api/checkout                                                                      |          3 |         91 |          7 |         14 |        112 |
| app/api/checkout (Files)                                                              |          1 |         49 |          4 |          7 |         60 |
| app/api/checkout/confirm                                                              |          1 |         11 |          1 |          3 |         15 |
| app/api/checkout/temp                                                                 |          1 |         31 |          2 |          4 |         37 |
| app/api/countries                                                                     |          1 |          8 |          1 |          1 |         10 |
| app/api/items                                                                         |          2 |         80 |          5 |         18 |        103 |
| app/api/items (Files)                                                                 |          1 |         58 |          4 |         14 |         76 |
| app/api/items/[nameEnglish]                                                           |          1 |         22 |          1 |          4 |         27 |
| app/api/login                                                                         |          1 |         35 |          3 |          7 |         45 |
| app/api/logout                                                                        |          1 |          7 |          1 |          1 |          9 |
| app/api/mypage                                                                        |          2 |         59 |          2 |         15 |         76 |
| app/api/mypage (Files)                                                                |          1 |         27 |          1 |          7 |         35 |
| app/api/mypage/change-password                                                        |          1 |         32 |          1 |          8 |         41 |
| app/api/order                                                                         |          1 |         76 |          5 |         10 |         91 |
| app/api/signup                                                                        |          1 |         54 |          4 |          8 |         66 |
| app/api/stripe                                                                        |          3 |        165 |         12 |         33 |        210 |
| app/api/stripe/cancel                                                                 |          1 |         27 |          4 |          6 |         37 |
| app/api/stripe/checkout                                                               |          1 |         55 |          4 |         11 |         70 |
| app/api/stripe/success                                                                |          1 |         83 |          4 |         16 |        103 |
| app/api/top                                                                           |          1 |         21 |          3 |          3 |         27 |
| app/cart                                                                              |          3 |        213 |          5 |         14 |        232 |
| app/checkout                                                                          |          4 |        581 |         10 |         50 |        641 |
| app/checkout (Files)                                                                  |          2 |        341 |          3 |         28 |        372 |
| app/checkout/complete                                                                 |          1 |         43 |          3 |          6 |         52 |
| app/checkout/confirm                                                                  |          1 |        197 |          4 |         16 |        217 |
| app/items                                                                             |          4 |        429 |         14 |         38 |        481 |
| app/items (Files)                                                                     |          2 |        268 |         10 |         18 |        296 |
| app/items/[nameEnglish]                                                               |          2 |        161 |          4 |         20 |        185 |
| app/login                                                                             |          2 |         80 |          3 |          9 |         92 |
| app/mypage                                                                            |          4 |        280 |          6 |         22 |        308 |
| app/mypage (Files)                                                                    |          3 |        170 |          3 |         12 |        185 |
| app/mypage/change-password                                                            |          1 |        110 |          3 |         10 |        123 |
| app/signup                                                                            |          1 |        291 |          2 |         27 |        320 |
| app/styles                                                                            |         15 |      1,495 |         35 |        312 |      1,842 |
| components                                                                            |          2 |         80 |          0 |          4 |         84 |
